number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_k_features,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_rmse_cv_std,state
70,0.31324798691118055,2026-06-20 00:44:20.895807,2026-06-20 00:44:23.762711,0 days 00:00:02.866904,4,944,73,0.00640292056418194,0.0055440457636256706,0.0023095778440442366,0.010825500230231752,COMPLETE
71,0.31201399381196837,2026-06-20 00:44:23.762876,2026-06-20 00:44:28.923915,0 days 00:00:05.161039,6,760,86,0.007991420634011199,0.0069547539700546505,0.0012884287154879923,0.01092383270949417,COMPLETE
72,0.3118263368995786,2026-06-20 00:44:28.924102,2026-06-20 00:44:34.471380,0 days 00:00:05.547278,6,787,81,0.0250056243976955,0.007925665891746722,0.0016301083874350596,0.010230476378702483,COMPLETE
73,0.3118867458921263,2026-06-20 00:44:34.471564,2026-06-20 00:44:43.578388,0 days 00:00:09.106824,7,688,94,0.0016854349147040523,0.009144583623960893,0.0012180686819161098,0.009832637566965624,COMPLETE
74,0.31269877117143097,2026-06-20 00:44:43.578610,2026-06-20 00:44:50.686798,0 days 00:00:07.108188,7,660,88,0.003931046853023306,0.0060275831330304985,0.0010130252320114798,0.010192332075876555,COMPLETE
75,0.31238418110363203,2026-06-20 00:44:50.687015,2026-06-20 00:44:56.124530,0 days 00:00:05.437515,6,836,98,0.01080214688899045,0.012862634727671704,0.00397252674695206,0.010143868641580919,COMPLETE
76,0.31574577591129993,2026-06-20 00:44:56.124720,2026-06-20 00:44:59.460250,0 days 00:00:03.335530,5,617,91,0.05644256715063705,0.03883859315661058,0.0023776216919323043,0.012772522274780308,COMPLETE
77,0.3172753626381555,2026-06-20 00:44:59.460435,2026-06-20 00:45:14.110560,0 days 00:00:14.650125,8,730,84,18.64461806185688,0.09935441532489983,0.0054917688067841475,0.009700742841796648,COMPLETE
78,0.3130898344180927,2026-06-20 00:45:14.110829,2026-06-20 00:45:19.171212,0 days 00:00:05.060383,7,402,78,0.08308454750766817,0.006932346799605277,0.0017085877455888152,0.010125904061471921,COMPLETE
79,0.31202744630250984,2026-06-20 00:45:19.171426,2026-06-20 00:45:22.959099,0 days 00:00:03.787673,6,497,39,0.014954471699793997,0.00815781821898902,0.2381958876441759,0.010435316060540255,COMPLETE
80,0.31355093603813267,2026-06-20 00:45:22.959287,2026-06-20 00:45:25.661172,0 days 00:00:02.701885,7,207,93,0.3122492141479305,0.010308283541979003,0.003030863247738346,0.010370662373175198,COMPLETE
